Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Australopithecus Garhi,2.49516564,Africa,oriental,Ethiopia,mixed,363.72188,129.53047,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Paranthropus Aethiopicus,3.27588344,Africa,oriental,Kenya,forest-savanna,547.56753,104.50029,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Sahelanthropus tchadensis,7.69384449,Africa,central,Republic of Chad,mixed,245.81701,94.50331,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Ergaster,1.95211499,Africa,oriental,Kenya,savannah,710.60851,161.48561,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Heidelbergensis,1.08247927,Europa,central,Germany,cold forest,1291.77136,175.567,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Sahelanthropus tchadensis,7.33780526,Africa,central,Republic of Chad,mixed,145.74494,98.12513,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Heidelbergensis,0.81510982,Europa,central,Germany,cold forest,1178.30238,184.33242,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,1.91344223,Africa,south,South Africa,mixed,391.05416,100.93565,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Floresiensis,0.24483615,Asia ,oriental,Indonesia,peninsular,187.9487,109.03462,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.3503206,Africa,central,Republic of Chad,mixed,152.76389,123.37809,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Garhi,3.1529066,Africa,oriental,Ethiopia,mixed,321.43683,111.19253,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,3.93614591,Africa,oriental,Ethiopia,mixed,299.20213,103.47931,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Paranthropus Boisei,2.68907135,Africa,oriental,Ethiopia,forest,503.24739,101.7342,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Orrorin tugenencin,6.4217186,Africa,oriental,Kenya,forest,93.44123,120.26092,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
"Homo Neanderthalensis
",0.02197721,Europa,central,Germany,cold forest,1043.25368,157.17113,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rodhesiensis,1.16071061,Africa,oriental,Ethiopia,savannah,1094.54837,148.5361,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Habilis,2.52065792,Africa,oriental,Ethiopia,savannah,833.1422,130.29672,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Floresiensis,0.67867966,Asia ,oriental,Indonesia,peninsular,448.36777,103.65388,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Floresiensis,0.18365773,Asia ,oriental,Indonesia,peninsular,265.06516,93.80845,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Erectus,1.67290173,Asia ,west,Indonesia,savannah,1195.69882,158.6876,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,1.76689023,Africa,south,South Africa,mixed,300.44727,111.29818,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Sapiens,0.00996929,Africa,oriental,Kenya,savannah,1086.42512,176.63055,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Heidelbergensis,1.069461,Europa,central,Germany,cold forest,1249.65252,181.71117,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Orrorin tugenencin,6.17533994,Africa,oriental,Kenya,forest,252.218,110.32549,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Afarensis,3.72455929,Africa,oriental,Kenya,mixed,371.82785,127.23741,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Bahrelghazali,3.82957602,Africa,central,Republic of Chad,mixed,296.3521,114.05521,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Anamensis,4.64529187,Africa,oriental,Kenya,forest-gallery,331.19667,126.86478,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Habilis,2.56377866,Africa,oriental,Ethiopia,savannah,668.23319,131.01706,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
"Homo Neanderthalensis
",0.56450719,Europa,central,Germany,cold forest,1216.28506,168.16585,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Floresiensis,0.87137814,Asia ,oriental,Indonesia,peninsular,298.45124,104.4091,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Orrorin tugenencin,6.15702192,Africa,oriental,Kenya,forest,238.16616,125.58397,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Boisei,2.61119719,Africa,oriental,Ethiopia,forest,389.93159,100.33986,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Anamensis,4.83317824,Africa,oriental,Kenya,forest-gallery,383.75861,121.1113,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.59932064,Africa,oriental,Kenya,forest-savanna,483.16484,109.70175,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.58021547,Africa,oriental,Kenya,savannah,967.69735,155.10329,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.92762765,Africa,oriental,Kenya,forest-savanna,342.9727,101.99038,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Sapiens,0.85216368,Africa,oriental,Kenya,savannah,1303.54005,160.15315,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Paranthropus Boisei,2.67383699,Africa,oriental,Ethiopia,forest,413.79543,113.21744,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Bahrelghazali,3.5598239,Africa,central,Republic of Chad,mixed,416.55025,114.06472,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Anamensis,4.09516423,Africa,oriental,Kenya,forest-gallery,232.14366,112.0625,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Sediba,1.88036739,Africa,south,South Africa,mixed,366.05399,115.84167,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Floresiensis,0.43254652,Asia ,oriental,Indonesia,peninsular,289.26445,102.10817,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Africanus,3.97137177,Africa,south,South Africa,forest-gallery,457.22571,109.53665,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Rodhesiensis,1.00227205,Africa,oriental,Ethiopia,savannah,1111.15288,154.92481,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Sediba,2.25954034,Africa,south,South Africa,mixed,360.52437,102.75478,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
"Homo Neanderthalensis
",0.36729216,Europa,central,Germany,cold forest,1098.2423,169.47421,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Orrorin tugenencin,6.01199776,Africa,oriental,Kenya,forest,24.13396,122.18631,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
"Homo Neanderthalensis
",0.37142894,Europa,central,Germany,cold forest,1000.16393,165.71944,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,2.26104334,Africa,south,South Africa,mixed,494.72563,119.2709,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Robustus,2.20128623,Africa,south,South Africa,jungle,551.99116,116.6415,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Floresiensis,0.91047907,Asia ,oriental,Indonesia,peninsular,219.17185,99.97738,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Africanus,3.9316696,Africa,south,South Africa,forest-gallery,438.51371,117.49132,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Anamensis,4.0815547,Africa,oriental,Kenya,forest-gallery,293.10671,128.91074,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
hominino Orrorin tugenencin,6.43062319,Africa,oriental,Kenya,forest,231.18055,128.21979,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Rodhesiensis,1.16835891,Africa,oriental,Ethiopia,savannah,963.15158,155.87975,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Georgicus,1.69476161,Asia ,west,Georgia,savannah,630.45784,146.85633,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Orrorin tugenencin,6.14522347,Africa,oriental,Kenya,forest,179.36266,125.95213,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Antecesor,1.63287941,Europa,west,Spain,savannah,987.75717,171.88539,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Anamensis,4.06932053,Africa,oriental,Kenya,forest-gallery,219.07702,114.8848,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Heidelbergensis,0.64530289,Europa,central,Germany,cold forest,1240.59686,168.51445,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Erectus,1.12372218,Asia ,west,Indonesia,savannah,1086.27691,154.6574,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.65061478,Africa,central,Republic of Chad,mixed,379.88604,116.48852,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,5.91666467,Africa,oriental,Kenya,forest,52.71848,123.06195,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Sediba,2.53063459,Africa,south,South Africa,mixed,460.35266,103.43851,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Africanus,3.84727001,Africa,south,South Africa,forest-gallery,645.55557,100.32061,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Anamensis,3.99941923,Africa,oriental,Kenya,forest-gallery,358.09519,118.29026,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Erectus,1.8135191,Asia ,west,Indonesia,savannah,1107.49901,158.64065,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.23706831,Europa,central,Germany,cold forest,1026.57495,156.14554,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Georgicus,1.95072856,Asia ,west,Georgia,savannah,809.26709,155.63217,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.29902639,Europa,central,Germany,cold forest,1019.63687,160.87335,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,1.70490936,Africa,south,South Africa,mixed,307.63236,108.55257,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,5.83712489,Africa,oriental,Kenya,forest,276.80779,128.43804,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Georgicus,2.18891348,Asia ,west,Georgia,savannah,862.77529,142.53407,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.54735376,Asia ,west,Indonesia,savannah,1007.73321,163.77893,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,1.76261012,Asia ,west,Georgia,savannah,593.44054,150.4999,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Orrorin tugenencin,6.1178218,Africa,oriental,Kenya,forest,272.66343,119.80574,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Aethiopicus,2.71051462,Africa,oriental,Kenya,forest-savanna,363.6772,113.98841,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Ardipithecus ramidus / kabadda,3.97841006,Africa,oriental,Ethiopia,mixed,337.91175,110.41795,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Sapiens,0.3686773,Africa,oriental,Kenya,savannah,1110.75853,175.00536,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Ergaster,1.56517672,Africa,oriental,Kenya,savannah,871.44022,167.47394,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Orrorin tugenencin,5.84639735,Africa,oriental,Kenya,forest,154.62211,122.91612,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Sahelanthropus tchadensis,7.42509992,Africa,central,Republic of Chad,mixed,45.48084,91.91883,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Georgicus,1.61129732,Asia ,west,Georgia,savannah,864.87942,152.48025,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Heidelbergensis,0.49432715,Europa,central,Germany,cold forest,1364.73861,173.11488,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Africanus,3.4834363,Africa,south,South Africa,forest-gallery,659.97703,113.14035,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Antecesor,1.50596224,Europa,west,Spain,savannah,1123.53633,172.52393,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Aethiopicus,2.45333212,Africa,oriental,Kenya,forest-savanna,349.95389,101.99876,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.88288325,Africa,south,South Africa,jungle,636.91138,111.887,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Antecesor,1.24265025,Europa,west,Spain,savannah,1118.92448,171.14019,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Robustus,2.28657785,Africa,south,South Africa,jungle,619.26229,119.92204,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Bahrelghazali,3.75146968,Africa,central,Republic of Chad,mixed,442.17315,121.21742,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,6.63014125,Africa,oriental,Kenya,forest,241.31403,121.17969,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Sediba,2.25396031,Africa,south,South Africa,mixed,517.47692,107.83619,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Sahelanthropus tchadensis,7.08361343,Africa,central,Republic of Chad,mixed,17.83712,90.1782,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Africanus,3.71152779,Africa,south,South Africa,forest-gallery,580.65096,101.60873,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Bahrelghazali,3.49135304,Africa,central,Republic of Chad,mixed,248.36286,127.77731,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Erectus,1.97765197,Asia ,west,Indonesia,savannah,1090.60469,154.61039,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Heidelbergensis,0.24694989,Europa,central,Germany,cold forest,1227.73864,174.11047,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Naledi,0.17337318,Africa,south,South Africa,jungle,483.14731,129.90833,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.93823004,Africa,central,Republic of Chad,mixed,374.76873,119.56038,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Georgicus,1.97440903,Asia ,west,Georgia,savannah,769.11443,154.80207,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,4.42700785,Africa,oriental,Ethiopia,mixed,435.70562,110.28991,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Naledi,0.46990213,Africa,south,South Africa,jungle,395.12579,139.2593,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Sapiens,0.37175431,Africa,oriental,Kenya,savannah,1318.20475,163.0083,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Rudolfensis,3.05756676,Africa,oriental,Kenya,savannah,560.52164,122.25079,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Garhi,2.39943206,Africa,oriental,Ethiopia,mixed,251.07365,125.46588,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
hominino Sahelanthropus tchadensis,7.23532427,Africa,central,Republic of Chad,mixed,207.92746,89.95159,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Habilis,3.03031707,Africa,oriental,Ethiopia,savannah,890.50652,126.11336,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Paranthropus Robustus,1.68371345,Africa,south,South Africa,jungle,491.30254,111.84632,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Floresiensis,0.48316712,Asia ,oriental,Indonesia,peninsular,340.48518,100.92581,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.96359125,Africa,central,Republic of Chad,mixed,413.4233,122.32513,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Paranthropus Boisei,2.15772207,Africa,oriental,Ethiopia,forest,588.02754,112.93535,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.85032197,Africa,south,South Africa,jungle,501.99868,113.93834,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.28799559,Africa,oriental,Kenya,savannah,813.76599,168.28248,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Boisei,2.18488829,Africa,oriental,Ethiopia,forest,410.31004,103.1948,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Antecesor,1.68115899,Europa,west,Spain,savannah,1081.61022,163.31917,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Bahrelghazali,3.80602274,Africa,central,Republic of Chad,mixed,344.99802,125.06552,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Heidelbergensis,0.62711365,Europa,central,Germany,cold forest,1237.83596,170.2031,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rudolfensis,2.54577612,Africa,oriental,Kenya,savannah,825.33648,120.25058,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Antecesor,1.11936812,Europa,west,Spain,savannah,903.74978,163.71172,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
